subentry,X4file,target,reaction,measure,description,ENmin,ENmax,rows,uncertainties,authors,year,reference
"11014003","11014.x4","N-14","N,G","CS","Spectrum average Cross section for 14N(n,gamma)15N","2.53e-08","2.53e-08","1"," ","G.A.Bartholomew,P.J.Campion","1957","Canadian Journal of Physics 35,1347 (1957)"
"11097007","11097.x4","N-14","N,2N","CS","Cross section for 14N(n,2n)13N","14.1","14.1","1"," ","V.J.Ashby,H.C.Catron,L.L.Newkirk,C.J.Taylor","1958","Physical Review 111,616 (1958)"
"11100003","11100.x4","N-14","N,P","CS","Cross section for 14N(n,p)14C","0.029","0.35","13"," ","J.H.Gibbons,R.L.Macklin","1959","Physical Review 114,571 (1959); Physical Review 109,105 (1958)"
"11130006","11130.x4","N-14","N,G","CS","Cross section for 14N(n,gamma)15N","0.065","0.065","1"," ","N.A.Bostrom,I.L.Morgan,J.T.Prud'Homme,P.L.Okhuysen,O.M.Hudson Jr","1959","Report other than progress report: WADC-TN-59-107  (1959)"
"11130006","11130.x4","N-14","N,G","CS","Cross section for 14N(n,gamma)15N","0.065","0.065","1"," ","N.A.Bostrom,I.L.Morgan,J.T.Prud'Homme,P.L.Okhuysen,O.M.Hudson Jr","1959","Report other than progress report: WADC-TN-59-107  (1959)"
"11133005","11133.x4","N-14","N,G","CS","Maxwellian average Cross section for 14N(n,gamma)15N","2.53e-08","2.53e-08","1"," ","E.Jurney,H.Motz","1963","Report other than progress report: ANL-6797 236 (1963); Nucl.Physics with Reactor Neutrons Conf.,Argonne 1963 ,236 (1963)"
"11133005","11133.x4","N-14","N,G","CS","Maxwellian average Cross section for 14N(n,gamma)15N","2.53e-08","2.53e-08","1"," ","E.Jurney,H.Motz","1963","Report other than progress report: ANL-6797 236 (1963); Nucl.Physics with Reactor Neutrons Conf.,Argonne 1963 ,236 (1963)"
"11147003","11147.x4","N-14","N,P","CS","Maxwellian average Cross section for 14N(n,p)14C","2.53e-08","2.53e-08","1"," ","J.H.Coon,R.A.Nobles","1949","Physical Review 75,1358 (1949)"
"11189026","11189.x4","N-14","N,2N","CS","Spectrum average Cross section for 14N(n,2n)13N"," "," ","1"," ","B.L.Cohen","1951","Physical Review 81,184 (1951)"
"11218006","11218.x4","N-14","N,INL","DA","Partial diff. gamma em. cross section d/dA*4pi for 14N(n,Inelastic)14N","3.95","3.95","1"," ","R.B.Day","1956","Physical Review 102,767 (1956)"
"11263003","11263.x4","N-14","N,2N","CS","Spectrum average Cross section for 14N(n,2n)13N","14.0","14.0","1"," ","J.E.Strain,W.J.Ross","1965","Report other than progress report: ORNL-3672  (1965)"
"11268002","11268.x4","N-14","N,2N","CS","Cross section for 14N(n,2n)13N","13.2","15.34","8"," ","J.H.Mc Crary,I.L.Morgan","1960","Bulletin of the American Physical Society 5,246(HA5) (1960); Report other than progress report: AFSWC-TR-60-30  (1960)"
"11273002","11273.x4","N-14","N,G","CS","Spectrum average Cross section for 14N(n,gamma)15N","2.53e-08","2.53e-08","1"," ","B.B.Kinsey,G.A.Bartholomew,W.H.Walker","1951","Canadian Journal of Physics 29,1 (1951)"
"11273002","11273.x4","N-14","N,G","CS","Spectrum average Cross section for 14N(n,gamma)15N","2.53e-08","2.53e-08","1"," ","B.B.Kinsey,G.A.Bartholomew,W.H.Walker","1951","Canadian Journal of Physics 29,1 (1951)"
"11274002","11274.x4","N-14","N,2N","CS","Cross section for 14N(n,2n)13N","14.5","14.5","1"," ","E.B.Paul,R.L.Clarke","1953","Canadian Journal of Physics 31,267 (1953)"
"11275002","11275.x4","N-14","N,P","CS","Maxwellian average Cross section for 14N(n,p)14C","2.53e-08","2.53e-08","1"," ","G.C.Hanna,D.B.Primeau,P.R.Tunnicliffe","1961","Canadian Journal of Physics 39,1784 (1961)"
"11281002","11281.x4","N-14","N,T","CS","Cross section for 14N(n,t)12C","5.328","8.198","66"," ","F.Gabbard,H.Bichsel,T.W.Bonner","1959","Nuclear Physics 14,277 (1959)"
"11281005","11281.x4","N-14","N,A","CS","(( Cross section for 14N(n,alpha)11B )+( Cross section for 14N(n,t)12C ))","4.135","8.198","103"," ","F.Gabbard,H.Bichsel,T.W.Bonner","1959","Nuclear Physics 14,277 (1959)"
"11281005","11281.x4","N-14","N,T","CS","(( Cross section for 14N(n,alpha)11B )+( Cross section for 14N(n,t)12C ))","4.135","8.198","103"," ","F.Gabbard,H.Bichsel,T.W.Bonner","1959","Nuclear Physics 14,277 (1959)"
"11281007","11281.x4","N-14","N,A","CS","Cross section for 14N(n,alpha)11B","1.28","4.92","184"," ","F.Gabbard,H.Bichsel,T.W.Bonner","1959","Nuclear Physics 14,277 (1959)"
"11281008","11281.x4","N-14","N,P","CS","Cross section for 14N(n,p)14C","1.29","4.14","132"," ","F.Gabbard,H.Bichsel,T.W.Bonner","1959","Nuclear Physics 14,277 (1959)"
"11281016","11281.x4","N-14","N,A","CS","Partial cross section for 14N(n,alpha)11B","4.135","8.198","115"," ","F.Gabbard,H.Bichsel,T.W.Bonner","1959","Nuclear Physics 14,277 (1959)"
"11281017","11281.x4","N-14","N,A","CS","Partial cross section for 14N(n,alpha)11B","4.135","8.198","104"," ","F.Gabbard,H.Bichsel,T.W.Bonner","1959","Nuclear Physics 14,277 (1959)"
"11281018","11281.x4","N-14","N,A","CS","Partial cross section for 14N(n,alpha)11B","5.791","8.198","54"," ","F.Gabbard,H.Bichsel,T.W.Bonner","1959","Nuclear Physics 14,277 (1959)"
"11281020","11281.x4","N-14","N,A","CS","Partial cross section for 14N(n,alpha)11B","7.124","8.198","21"," ","F.Gabbard,H.Bichsel,T.W.Bonner","1959","Nuclear Physics 14,277 (1959)"
"11289002","11289.x4","N-14","N,2N","CS","Cross section for 14N(n,2n)13N","14.1","14.1","1"," ","N.W.Golchert,D.G.Gardner,J.Sedlet","1965","Nuclear Physics 73,349 (1965)"
"11291004","11291.x4","N-14","N,G","CS","Cross section for 14N(n,gamma)15N"," "," ","1"," ","J.K.Dickens,F.G.Perey","1969","Nuclear Science and Engineering 36,280 (1969)"
"11291004","11291.x4","N-14","N,G","CS","Cross section for 14N(n,gamma)15N"," "," ","1"," ","J.K.Dickens,F.G.Perey","1969","Nuclear Science and Engineering 36,280 (1969)"
"11292002","11292.x4","N-14","N,TOT","CS","Cross section for 14N(n,Total)","1.635","3.98","196"," ","C.H.Johnson,H.B.Willard,J.K.Bair,J.D.Kington","1953","Progress report: ORNL-1365 1 (1953)"
"11296002","11296.x4","N-14","N,A","CS","Cross section for 14N(n,alpha)11B","1.005","2.11","70"," ","C.H.Johnson,H.H.Barschall","1950","Physical Review 80,818 (1950)"
"11296003","11296.x4","N-14","N,P","CS","Cross section for 14N(n,p)14C","0.148","2.15","184"," ","C.H.Johnson,H.H.Barschall","1950","Physical Review 80,818 (1950)"
"11299002","11299.x4","N-14","N,TOT","CS","Cross section for 14N(n,Total)","0.17","1.79","178"," ","J.J.Hinchey,P.H.Stelson,W.M.Preston","1952","Physical Review 86,483 (1952)"
"11299003","11299.x4","N-14","N,TOT","CS","Cross section for 14N(n,Total)","0.157","1.0","106"," ","J.J.Hinchey,P.H.Stelson,W.M.Preston","1952","Physical Review 86,483 (1952)"
"11302004","11302.x4","N-14","N,T","CS","(( Cross section for 14N(n,Unspecified+1H) )+( Cross section for 14N(n,Unspecified+2H) )+( Cross section for 14N(n,t)12C ))","14.1","14.1","1"," ","A.B.Lillie","1952","Physical Review 87,716 (1952)"
"11307002","11307.x4","N-14","N,2N","CS","Cross section for 14N(n,2n)13N","14.0","14.0","1"," ","J.D.Dudley,C.M.Class","1954","Physical Review 94,807(F8) (1954)"
"11314002","11314.x4","N-14","N,EL","DA","Differential c/s with respect to angle for 14N(n,Elastic)14N","0.8","2.36","332"," ","J.L.Fowler,C.H.Johnson","1955","Physical Review 98,728 (1955)"
"11318002","11318.x4","N-14","N,D","DA","Partial differential cross section d/dA for 14N(n,d)13C","14.0","14.0","7"," ","R.R.Carlson","1957","Physical Review 107,1094 (1957)"
"11318003","11318.x4","N-14","N,D","DA","Partial differential cross section d/dA for 14N(n,d)13C","14.1","14.1","7"," ","R.R.Carlson","1957","Physical Review 107,1094 (1957)"
"11328002","11328.x4","N-14","N,2N","CS","Cross section for 14N(n,2n)13N","14.4","14.4","1"," ","L.A.Rayburn","1961","Physical Review 122,168 (1961); Bulletin of the American Physical Society 3,365(G13) (1958)"
"11336002","11336.x4","N-14","N,D","DA","Partial differential cross section d/dA for 14N(n,d)13C","14.1","14.1","15"," ","P.Fessenden,D.R.Maxson","1967","Physical Review 158,948 (1967)"
"11336003","11336.x4","N-14","N,T","DA","Partial differential cross section d/dA for 14N(n,t)12C","14.1","14.1","14"," ","P.Fessenden,D.R.Maxson","1967","Physical Review 158,948 (1967)"
"11339002","11339.x4","N-14","N,P","CS","Partial cross section for 14N(n,p)14C","5.01","13.04","10"," ","J.D.Anderson,C.Wong","1966","Progress report: UCRL-50001-66-2 19 (1966)"
"11341003","11341.x4","N-14","N,INL","DA","Partial diff. gamma em. cross section d/dA for 14N(n,Inelastic)14N","4.2","7.5","2"," ","N.A.Bostrom,I.L.Morgan,J.T.Prud'Homme,P.L.Okhuysen,O.M.Hudson Jr","1959","Report other than progress report: WADC-TR-59-31  (1959)"
"11346004","11346.x4","N-14","N,INL","CS","Partial cross section for 14N(n,Inelastic)14N","14.0","14.0","2"," ","R.W.Bauer,J.D.Anderson,L.J.Christensen","1963","Nuclear Physics 47,241 (1963)"
"11346006","11346.x4","N-14","N,INL","DA","Partial differential cross section d/dA for 14N(n,Inelastic)14N","14.0","14.0","10"," ","R.W.Bauer,J.D.Anderson,L.J.Christensen","1963","Nuclear Physics 47,241 (1963)"
"11346007","11346.x4","N-14","N,INL","DA","Partial differential cross section d/dA for 14N(n,Inelastic)14N","14.0","14.0","12"," ","R.W.Bauer,J.D.Anderson,L.J.Christensen","1963","Nuclear Physics 47,241 (1963)"
"11348002","11348.x4","N-14","N,A","DA","Partial differential cross section d/dA for 14N(n,alpha)11B","14.1","14.1","20"," ","D.R.Maxson,R.D.Murphy,M.R.Zatzick","1968","Nuclear Physics,Section A 110,609 (1968); Private communication: Murphy  (1967)"
"11348003","11348.x4","N-14","N,A","DA","Partial differential cross section d/dA for 14N(n,alpha)11B","14.1","14.1","7"," ","D.R.Maxson,R.D.Murphy,M.R.Zatzick","1968","Nuclear Physics,Section A 110,609 (1968); Private communication: Murphy  (1967)"
"11350006","11350.x4","N-14","N,D","DA","Partial differential cross section d/dA for 14N(n,d)13C","6.906","8.587","313"," ","L.F.Chase Jr,R.G.Johnson,R.V.Smith,F.J.Vaughn,M.Walt","1961","Report other than progress report: AFSWC-TR-61-15  (1961)"
"11356002","11356.x4","N-14","N,2N","CS","Cross section for 14N(n,2n)13N","12.41","17.98","6"," ","J.M.Ferguson,W.E.Thompson","1960","Physical Review 118,228 (1960)"
"11358002","11358.x4","N-14","N,INL","DA","Partial diff. gamma em. cross section d/dA*4pi for 14N(n,Inelastic)14N","3.39","5.055","13"," ","N.A.Bostrom,I.L.Morgan,J.T.Prud'Homme,P.L.Okhuysen,A.R.Sattar","1958","Report other than progress report: WADC-TR-58-88  (1958)"
"12524008","12524.x4","N-14","N,TOT","CS","Cross section for 14N(n,Total)","14.12","14.12","1"," ","J.H.Coon,E.R.Graves,H.H.Barschall","1952","Physical Review 88,562 (1952); Report other than progress report: LA-1446  (1952)"
"12695004","12695.x4","N-14","N,INL","DA","Partial diff. gamma em. cross section d/dA for 14N(n,Inelastic)14N","14.8","14.8","17"," ","I.L.Morgan,J.B.Ashe,D.O.Nellis","1964","Progress report: TID-22012 158 (1964); Progress report: ORO-2791-32 8 (1971); Progress report: ORO-2791-28  (1969)"
"12696002","12696.x4","N-14","N,INL","DA","Partial diff. gamma em. cross section d/dA for 14N(n,Inelastic)14N","14.8","14.8","16"," ","W.E.Tucker,D.O.Nellis,P.S.Buchanan,J.A.Stout","1969","Progress report: ORO-2791-30 49 (1969); Progress report: ORO-2791-32 8 (1970)"
"12718002","12718.x4","N-14","N,G","CS","Spectrum average Cross section for 14N(n,gamma)15N","2.5299999999999998e-08","2.5299999999999998e-08","1"," ","M.A.Islam,W.V.Prestwich,T.J.Kennett","1981","Nuclear Instrum.and Methods in Physics Res. 188,243 (1981)"
