subentry,X4file,target,reaction,measure,description,ENmin,ENmax,rows,uncertainties,authors,year,reference
"21177011","21177.x4","Be-9","N,EL","CS","Cross section for 9Be(n,Elastic)9Be","14.1","14.1","1"," ","F.Merchez,V.Regis,Nguyen Van Sen,R.Darves-Blanc,Pham Dinh Lien,R.Bouchez","1966","Nuclear Data For Reactors Conf.,Paris 1966 1,393 (1966); Journal de Physique - Colloque 27,(C1),C1-61 (1966); Journal de Physique - Colloque 27,(C1),C1-84 (1966); Comptes Rendus,Serie B,Physique 260,3922 (1965); Progress report: EANDC(E)-89U 234 (1968)"
"21281002","21281.x4","Be-9","N,TOT","CS","Cross section for 9Be(n,Total)"," "," ","1"," ","E.R.Hodgson,J.F.Gallagher,E.M.Bowey","1952","Proc.Physical Society (London),Section A 65,992 (1952)"
"21470002","21470.x4","Be-9","N,G","CS","Cross section for 9Be(n,gamma)10Be","2.5299999999999998e-08","2.5299999999999998e-08","1"," ","H.Rose,W.A.Cooper,R.B.Tattersall","1958","Second Internat. At.En. Conf.,Geneva 1958 16,34 (1958); Progress in Nucl.Energy 3,292 (1959); Report other than progress report: AERE-R/R-2516  (1959)"
"21513003","21513.x4","Be-9","N,G","CS","Maxwellian average Cross section for 9Be(n,gamma)10Be","2.5299999999999998e-08","2.5299999999999998e-08","1"," ","R.Vidal","1963","Progress report: EANDC(E)-049 94 (1963)"
"21657002","21657.x4","Be-9","N,TOT","CS","Cross section for 9Be(n,Total)","2.5999999999999997e-09","5e-07","80"," ","K.Kanda,O.Aizawa","1980","Private communication: Kanda  (1980); J. of Nuclear Science and Technology,Tokyo 12,(10),601 (1975)"
"21657003","21657.x4","Be-9","N,TOT","CS","Cross section for 9Be(n,Total)","1.6e-09","5e-07","87"," ","K.Kanda,O.Aizawa","1980","Private communication: Kanda  (1980); J. of Nuclear Science and Technology,Tokyo 12,(10),601 (1975)"
"21657004","21657.x4","Be-9","N,TOT","CS","Cross section for 9Be(n,Total)","1.6e-09","5e-07","87"," ","K.Kanda,O.Aizawa","1980","Private communication: Kanda  (1980); J. of Nuclear Science and Technology,Tokyo 12,(10),601 (1975)"
"21657005","21657.x4","Be-9","N,TOT","CS","Cross section for 9Be(n,Total)","1.6e-09","5e-07","87"," ","K.Kanda,O.Aizawa","1980","Private communication: Kanda  (1980); J. of Nuclear Science and Technology,Tokyo 12,(10),601 (1975)"
"21846003","21846.x4","Be-9","N,P","CS","Cross section for 9Be(n,p)9Li","14.7","14.7","1"," ","W.Schantl","1970","Thesis or dissertation: Schantl  (1970)"
"21846032","21846.x4","Be-9","N,P","CS","(( Cross section for 9Be(n,p)9Li )/( Cross section for 16O(n,p)16N ))","14.7","14.7","5"," ","W.Schantl","1970","Thesis or dissertation: Schantl  (1970)"
"21864002","21864.x4","Be-9","N,TOT","CS","Cross section for 9Be(n,Total)","0.024300000000000002","0.024300000000000002","1"," ","O.Aizawa,T.Matsumoto,H.Kadotani","1983","J. of Nuclear Science and Technology,Tokyo 20,(4),354 (1983)"
"21904002","21904.x4","Be-9","N,A","DA","Partial differential cross section d/dA for 9Be(n,alpha)6He","14.1","14.1","12"," ","K.Shibata,S.Shirato","1983","Journal of the Physical Society of Japan 52,(11),3748 (1983)"
"21904003","21904.x4","Be-9","N,A","DA","Partial differential cross section d/dA for 9Be(n,alpha)6He","14.1","14.1","7"," ","K.Shibata,S.Shirato","1983","Journal of the Physical Society of Japan 52,(11),3748 (1983)"
